"File","Status","SecretFlag"
"prod-settings.json","referenced","possible secrets"
"callhistory-detail.json","referenced",""
"callhistory-response.json","referenced",""
"callhistory-response2.json","referenced",""
"callhistory-response3.json","referenced",""
"api-phase4.zip","referenced",""
"api-phase18-posix.zip","referenced",""
"app-phase4.zip","referenced",""
"app-phase18-posix.zip","referenced",""
"contactcenterpoc-api.zip","referenced",""
"az-dns-zone-groups.json","referenced",""
"az-dns-zone-groups2.json","referenced",""
"az-private-dns-a-records.json","referenced",""
"az-private-dns-a-records2.json","referenced",""
"zonegroup-create.json","referenced",""
"pe-list-ContactCenterPOC.json","referenced",""
"aoai-rbac.json","referenced","sensitive access config"
"aoai-rbac3.json","referenced","sensitive access config"
"aoai-rbac4.json","referenced","sensitive access config"
"aoai-resource.json","referenced",""
"aoai-sentiment-body.json","referenced",""
"aoai-sentiment-resp.json","referenced",""
"api-appsettings.json","referenced","possible secrets"
"deployed-app.html","referenced",""
"deployed-site.js","referenced",""
"update-body.json","referenced",""
